Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
9;1170949;Форма банка (без печати работодателя);Ремонт;1;0.49;мужской;0;0;высшее;вспомогательный персонал;>250;0;81;27;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1170969;2НДФЛ;Ремонт;0;0.52;женский;0;0;высшее;рабочий;>250;0;148;52;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1170989;2НДФЛ;Ремонт;1;0.31;мужской;0;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171009;Форма банка (без печати работодателя);Ремонт;1;0.37;женский;0;0;среднее-специальное;вспомогательный персонал;>250;0;23;25;Торговля;ООО;женат / замужем;0;0;0;0;0;0.5818181818;0;0;0;0;0.25;1;3;23;4;0;0;21;46;1;1;1;1;1;1;1
9;1171029;Поступление зарплаты на счет;Ремонт;0;0.52;мужской;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;61;30;Другое;ООО;холост / не замужем;5;1;0;0;0;0.5681818182;1;0;0;0;0.3333333333;1;2;38;3;1;0;4;71;1;0;0;0;0;0;0
9;1171049;Поступление зарплаты на счет;Покупка автомобиля;0;0.21;женский;1;0;высшее;менеджер среднего звена;>250;0;15;37;Торговля;ОАО;гражданский брак;3;3;3;3;3;0.3258426966;0;0;0;0;0.1428571429;1;6;120;7;0;0;10;78;1;0;0;0;0;0;0
9;1171069;2НДФЛ;Покупка автомобиля;0;0.32;женский;1;0;высшее;менеджер среднего звена;>250;0;84;28;Торговля;ООО;женат / замужем;2;1;1;0;0;0.0113636364;1;0;0;0;0.25;2;6;87;8;2;0;7;66;1;0;0;0;0;0;0
9;1171089;Форма банка (без печати работодателя);Ремонт;1;0.39;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;< 50;0;24;32;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171109;2НДФЛ;Покупка бытовой техники;0;0.21;мужской;1;0;незаконченное высшее;специалист;>250;3;144;34;Другое;ООО;женат / замужем;1;1;1;1;1;0.2925170068;1;0;0;0;0.25;2;6;104;8;1;1;26;92;1;1;1;1;0;0;0
9;1171129;2НДФЛ;Покупка автомобиля;1;0.49;женский;0;0;среднее;рабочий;>250;0;83;52;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171149;Форма банка (без печати работодателя);Покупка бытовой техники;0;0.08;мужской;2;0;высшее;менеджер высшего звена;< 50;0;12;41;Другое;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0;0;3;13;3;0;3;3;29;0;0;0;0;0;0;0
9;1171169;Поступление зарплаты на счет;Другое;0;0.26;мужской;0;0;высшее;менеджер по продажам;>250;0;9;24;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171189;Форма банка (без печати работодателя);Ремонт;1;0.44;мужской;2;0;среднее-специальное;рабочий;>250;0;206;37;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171209;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;0;0.39;мужской;2;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;< 50;0;125;52;Торговля;ООО;холост / не замужем;1;0;0;0;0;0.375;1;1;1;0;0.2857142857;2;5;75;7;2;1;2;83;1;0;0;0;0;0;0
9;1171229;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.59;мужской;2;0;среднее-специальное;вспомогательный персонал;>=200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171249;Свободная форма с печатью работодателя;Покупка земли;1;0.49;женский;0;0;высшее;вспомогательный персонал;>250;0;18;24;Торговля;ООО;холост / не замужем;6;6;0;0;0;0.1782178218;0;6;3;3;0.6923076923;9;4;83;13;4;0;1;47;1;0;0;0;0;0;0
9;1171269;2НДФЛ;Ремонт;0;0.55;женский;1;0;второе высшее;вспомогательный персонал;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171289;Свободная форма с печатью работодателя;Ремонт;1;0.52;женский;0;0;высшее;вспомогательный персонал;>250;1;34;37;Торговля;ООО;холост / не замужем;2;1;1;0;0;0;0;0;0;0;0.3333333333;1;2;24;3;1;1;10;96;0;0;0;0;0;0;0
9;1171309;Форма банка (без печати работодателя);Ремонт;0;0.58;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;207;52;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171329;2НДФЛ;Лечение;1;0.58;женский;1;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171349;Форма банка (без печати работодателя);Ремонт;1;0.54;мужской;0;0;высшее;менеджер среднего звена;>250;0;20;31;Торговля;ООО;холост / не замужем;1;1;1;0;0;0.0158730159;1;1;0;0;0.2727272727;4;7;124;11;3;0;5;87;1;0;0;0;0;0;0
9;1171369;2НДФЛ;Покупка недвижимости/ строительство;1;0.31;мужской;0;0;высшее;менеджер среднего звена;>100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171389;Свободная форма с печатью работодателя;Ремонт;1;0.49;мужской;0;0;высшее;вспомогательный персонал;< 50;0;12;25;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;1;1;0;12;1;0;0;11;11;0;0;0;0;0;0;0
9;1171409;2НДФЛ;Ремонт;0;0.4;женский;0;0;высшее;вспомогательный персонал;>250;3;106;28;Торговля;ЗАО;холост / не замужем;4;4;4;4;4;0;0;1;0;0;1;2;0;4;2;1;0;4;11;0;0;0;0;0;0;0
9;1171429;Поступление зарплаты на счет;Ремонт;0;0.16;мужской;0;0;высшее;специалист;>250;0;24;28;Другое;ОАО;холост / не замужем;1;1;1;1;1;;;;;;;;;;;;;;;;;;;;;
9;1171449;Форма банка (без печати работодателя);Ремонт;0;0.4;женский;1;0;Высшее/Второе высшее/Ученая степень;менеджер высшего звена;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171469;2НДФЛ;Покупка недвижимости/ строительство;1;0.56;женский;1;0;высшее;рабочий;>250;0;77;43;Другое;ООО;женат / замужем;2;1;0;0;0;0;0;0;0;0;0.6666666667;2;1;37;3;2;1;6;19;0;0;0;0;0;0;0
9;1171489;Поступление зарплаты на счет;Ремонт;1;0.59;женский;0;0;высшее;специалист;< 50;1;101;45;Другое;ООО;разведен / разведена;3;3;3;3;3;0;1;0;0;0;0.3636363636;4;7;118;11;1;0;11;91;0;0;0;0;0;0;0
9;1171509;Форма банка (без печати работодателя);Покупка земли;1;0.32;женский;1;0;высшее;специалист;< 50;0;150;32;Строительство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171529;Поступление зарплаты на счет;Ремонт;1;0.59;женский;0;0;высшее;вспомогательный персонал;>250;0;72;27;Торговля;ООО;женат / замужем;0;0;0;0;0;0;0;0;0;0;0.5;2;2;64;4;2;1;4;32;0;0;0;0;0;0;0
9;1171549;Форма банка (без печати работодателя);Покупка недвижимости/ строительство;1;0.4;женский;2;0;среднее-специальное;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171569;Поступление зарплаты на счет;Покупка автомобиля;0;0.51;мужской;0;0;высшее;специалист;< 50;0;23;33;Торговля;ООО;женат / замужем;0;0;0;0;0;0.0555555556;1;2;1;0;0.5555555556;5;4;51;9;4;1;2;92;1;0;0;0;0;0;0
9;1171589;2НДФЛ;Ремонт;0;0.57;мужской;2;0;высшее;менеджер среднего звена;>250;3;84;41;Другое;ОАО;женат / замужем;2;1;1;0;0;0;0;0;0;0;0.2857142857;2;5;50;7;1;0;7;75;0;0;0;0;0;0;0
9;1171609;Форма банка (без печати работодателя);Ремонт;0;0.25;женский;1;0;высшее;менеджер высшего звена;>250;0;61;37;Торговля;ООО;холост / не замужем;1;0;0;0;0;0.0134228188;1;0;0;0;0.2;1;4;147;5;1;2;17;90;1;0;0;0;0;0;0
9;1171629;Форма банка (без печати работодателя);Ремонт;1;0.52;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер по продажам;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171649;2НДФЛ;Ремонт;0;0.31;женский;0;0;высшее;менеджер среднего звена;>250;0;8;44;Торговля;ООО;женат / замужем;3;3;2;2;2;0;1;1;0;0;0.5;1;1;4;2;0;0;3;91;0;0;0;0;0;0;0
9;1171669;Поступление зарплаты на счет;Ремонт;1;0.26;женский;0;0;среднее-специальное;торговый представитель;>250;0;11;25;Наука;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171689;2НДФЛ;Ремонт;1;0.59;женский;0;0;высшее;рабочий;>250;0;185;42;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171709;2НДФЛ;Покупка автомобиля;1;0.59;женский;0;0;высшее;специалист;>250;0;18;26;Государственная служба;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171729;Форма банка (без печати работодателя);Ремонт;0;0.55;мужской;1;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;40;47;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171749;2НДФЛ;Ремонт;0;0.45;женский;0;0;высшее;специалист;>250;0;61;30;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171769;Форма банка (без печати работодателя);Ремонт;0;0.49;мужской;2;0;среднее-специальное;рабочий;>250;0;174;35;Другое;ЗАО;женат / замужем;0;0;0;0;0;0.2272727273;0;0;0;0;0.4285714286;3;4;102;7;1;1;9;62;1;1;0;0;0;0;0
9;1171789;2НДФЛ;Ремонт;0;0.43;мужской;1;0;высшее;вспомогательный персонал;>250;1;37;26;Другое;ООО;женат / замужем;0;0;0;0;0;0;1;1;0;0;0.6666666667;2;1;47;3;1;1;3;27;0;0;0;0;0;0;0
9;1171809;2НДФЛ;Ремонт;0;0.39;женский;0;0;высшее;специалист;>250;0;121;46;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;1171829;Поступление зарплаты на счет;Ремонт;1;0.59;женский;0;0;Высшее/Второе высшее/Ученая степень;вспомогательный персонал;>250;0;22;57;Торговля;ООО;женат / замужем;4;3;3;2;2;0.024137931;0;0;0;0;0.4615384615;6;7;283;13;3;0;11;101;1;1;0;0;0;0;0
